,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,CALIDAD_AS,CALIDAD_CD,CALIDAD_CR,CALIDAD_HG,CALIDAD_PB,CALIDAD_MN,CALIDAD_FE,SEMAFORO,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
330,0.6023134798405239,0.31710926625541525,0.07826976148235758,3,0.13478096063247957,1,0.028790478232897276,1,1,0.040971028104905716,3,0.00618921546611818,3,4,0.00018349076855050548,2,2,1,1,1,1,2,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
331,0.5941601597040012,0.31485111165953505,0.12360166568105659,3,0.1412248876374073,1,0.01952995535453181,2,2,0.0,0,0.11141384935343875,1,4,0.01861687419293507,2,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
332,0.5924990931247613,0.3158237023214613,0.048892420658387545,2,0.0964423024855147,2,0.012608932992806035,2,2,0.0200390145220721,2,0.063490411986893,1,4,0.020636925716977568,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,0.5899336680746026,0.3125659099907637,0.14242681845062094,3,0.07169545676070829,2,0.010318172070262999,3,3,0.0,0,0.2494540418009985,0,4,0.08985261914020472,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
334,0.5871625392238218,0.3080164819342389,0.22008057362507394,3,0.06655114528618616,2,0.01046439085255298,3,3,0.011666787081858247,1,0.25466420126355077,0,3,0.01479249677814593,2,2,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
335,0.5839534928203332,0.3068562177053119,0.23066972205795389,1,0.09833757513402284,2,0.014168600003899167,2,2,0.014548081785998122,2,0.2833147995239382,0,3,0.04189871188901902,1,2,1,1,1,1,2,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
336,0.5800934425453845,0.30923912002513954,0.05477528089887641,2,0.044132777386689775,2,0.006467744136626831,3,3,0.006748067336175132,1,0.017129494580747917,2,4,0.007197466723143251,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
337,0.5833944348564919,0.3107559640313674,0.24067366449832445,1,0.09238100395299724,2,0.013973641627512527,2,2,0.0149411169713171,2,0.3354058365821607,0,3,0.04390719192315294,1,2,1,1,1,1,2,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
338,0.5852807353524967,0.3208967948280258,0.09889365267100336,3,0.06996263605350084,2,0.00914842181194315,3,3,0.007467668521060616,1,0.023379574422350623,2,4,0.026721049803915726,2,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
339,0.5909142007098627,0.30845751481669004,0.22184851172876008,3,0.05599176910164077,2,0.008612286276879886,3,3,0.0,0,0.21924356297203543,0,4,0.023091734647585686,2,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
340,0.5942044548127807,0.31140674972399573,0.14242681845062094,3,0.11929387556181296,1,0.006760181701206792,3,3,0.0,0,0.01660689499939769,2,4,0.014011421209316076,2,2,1,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
341,0.6008373117835393,0.33281423192688375,0.12637985412970631,3,0.04061298532517464,2,0.0031047121439572653,4,3,0.0,0,0.09734853031800765,1,4,0.001476191498338751,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,0.6149630890871953,0.3021494750411545,0.10242336881529668,3,0.00552336600422375,4,3.41177158676622e-05,4,3,0.0,0,0.015044375038997013,2,4,0.022023851436021483,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
343,0.6146399361345067,0.3024624483131818,0.06712620737236351,2,0.017057453836573346,3,0.002032441073830737,4,3,0.0018784769886568877,0,0.025984654153626753,1,4,0.014273432802246303,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344,0.5797890814570272,0.30639089765536653,0.07477700571653854,2,0.027508528726918287,3,0.0024710974207006802,4,3,0.039257279098331044,3,0.024422134193226076,2,4,0.017681236580326186,2,2,1,1,1,1,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
345,0.5694968444768529,0.33212425557761704,0.11356692292529076,3,0.06368116098987382,2,0.010098843896828026,3,3,0.3548067336175132,3,0.0,3,4,0.0017373765562755069,2,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
346,0.5802898846414424,0.3294585181526982,0.14595653459491426,3,0.04407862673958954,2,0.006175306572046868,3,3,0.0,0,0.06609549171816913,1,3,0.014265167452311595,2,2,1,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
347,0.585960195475657,0.3216873973280693,0.17066454760496746,3,0.07413223588021876,2,0.0043719415904704345,4,3,0.01226211978903258,1,0.007751735426518858,3,4,0.016219922711869908,2,2,1,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
348,0.5857709345563253,0.33371561702956576,0.07300906761285236,2,0.03189473114203715,3,0.0032021913321505857,4,3,0.0018669171302651546,0,0.022859614232825398,2,4,0.00043393087157214135,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,0.588631660331683,0.3281969101975911,0.15536911097969647,3,0.1150701250879948,1,0.020358528454175035,2,2,0.01503648580304891,2,0.09787112989935788,1,4,0.0108011592946757,2,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
